nr_zadania	czas_przybycia	czas_wykonania	wymagany_czas_zakonczenia
0	0	4	25
1	0	7	26
2	0	7	1
3	0	8	37
4	0	1	4
5	0	9	19
6	0	9	34
7	0	8	35
8	0	7	14
9	0	2	10
10	0	5	8
11	0	3	33
12	0	6	22
13	0	1	13
14	0	4	6
15	0	9	3
16	0	3	14
17	0	6	17
18	0	4	35
19	0	4	25
20	0	6	15
21	0	6	12
22	0	1	8
23	0	7	9
24	0	6	36
25	0	1	36
26	0	7	11
27	0	7	16
28	0	6	25
29	0	7	26
30	0	2	27
31	0	9	3
32	0	2	23
33	0	2	9
34	0	5	1
35	0	6	17
36	0	7	38
37	0	1	23
38	0	9	39
39	0	9	29
40	0	4	33
41	0	7	2
42	0	9	7
43	0	5	39
44	0	1	36
45	0	1	14
46	0	3	9
47	0	6	23
48	0	2	31
49	0	1	3
50	0	3	14
51	0	4	15
52	0	8	17
53	0	3	34
54	0	6	35
55	0	1	25
56	0	5	23
57	0	3	33
58	0	8	24
59	0	2	28
60	0	3	4
61	0	6	4
62	0	6	28
63	0	6	1
64	0	5	19
65	0	8	9
66	0	8	37
67	0	6	19
68	0	5	32
69	0	3	3
70	0	4	8
71	0	7	19
72	0	2	5
73	0	9	38
74	0	6	28
75	0	8	1
76	0	3	13
77	0	1	32
78	0	8	20
79	0	4	39
80	0	8	15
81	0	7	16
82	0	2	37
83	0	4	9
84	0	8	20
85	0	7	27
86	0	3	32
87	0	8	10
88	0	3	14
89	0	6	23
90	0	4	11
91	0	1	8
92	0	8	30
93	0	7	14
94	0	1	36
95	0	2	35
96	0	6	32
97	0	7	25
98	0	4	25
99	0	1	4
